,IATA_CODE,AIRPORT,CITY,LATITUDE,LONGITUDE,IATA_CODE,YEAR
,,,,,,len,len
,,,,,,,
127,GRI,Central Nebraska Regional Airport,Grand Island,40.96747,-98.30861,634,634
128,GRK,Killeen-Fort Hood Regional Airport,Killeen,31.0649,-97.8278,4033,4033
129,GRR,Gerald R. Ford International Airport,Grand Rapids,42.88082,-85.52277,10845,10845
130,GSO,Piedmont Triad International Airport,Greensboro,36.09775,-79.9373,6737,6737
131,GSP,Greenville-Spartanburg International Airport,Greer,34.89567,-82.21885999999999,6542,6542
132,GST,Gustavus Airport,Gustavus,58.424380000000006,-135.70738,77,77
133,GTF,Great Falls International Airport,Great Falls,47.482,-111.37069,1966,1966
134,GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,33.45033,-88.59137,927,927
135,GUC,Gunnison-Crested Butte Regional Airport,Gunnison,38.53396,-106.93318000000001,497,497
136,GUM,Guam International Airport,Agana,13.48345,-144.79598000000001,334,334
137,HDN,Yampa Valley Airport (Yampa Valley Regional),Hayden,40.48118,-107.21766000000001,703,703
138,HIB,Range Regional Airport (Chisholm-Hibbing Airport),Hibbing,47.3866,-92.83899,898,898
139,HLN,Helena Regional Airport,Helena,46.60682,-111.98275,1435,1435
140,HNL,Honolulu International Airport,Honolulu,21.31869,-157.92241,43172,43172
141,HOB,Lea County Regional Airport,Hobbs,32.687529999999995,-103.21703000000001,571,571
142,HOU,William P. Hobby Airport,Houston,29.64542,-95.27889,52042,52042
143,HPN,Westchester County Airport,White Plains,41.066959999999995,-73.70756999999999,7443,7443
144,HRL,Valley International Airport,Harlingen,26.228509999999996,-97.65439,3079,3079
145,HSV,Huntsville International Airport,Huntsville,34.64045,-86.77311,4519,4519
146,HYA,Barnstable Municipal Airport,Hyannis,41.669340000000005,-70.28036,83,83
147,HYS,Hays Regional Airport,Hays,38.84494,-99.27403000000001,573,573
148,IAD,Washington Dulles International Airport,Chantilly,38.94453,-77.45581,34305,34305
149,IAG,Niagara Falls International Airport,Niagara Falls,43.10726,-78.94538,322,322
150,IAH,George Bush Intercontinental Airport,Houston,29.98047,-95.33972,146622,146622
151,ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,37.64996,-97.43305,8096,8096
152,IDA,Idaho Falls Regional Airport,Idaho Falls,43.514559999999996,-112.07016999999999,2247,2247
153,ILG,Wilmington Airport,Wilmington,39.67872,-75.60653,100,100
154,ILM,Wilmington International Airport,Wilmington,34.27061,-77.90256,1860,1860
155,IMT,Ford Airport,Iron Mountain/Kingsford,45.81835,-88.11454,620,620
156,IND,Indianapolis International Airport,Indianapolis,39.71733,-86.29438,25558,25558
157,INL,Falls International Airport,International Falls,48.56619,-93.40307,574,574
158,ISN,Sloulin Field International Airport,Williston,48.17794,-103.64235,2542,2542
159,ISP,Long Island MacArthur Airport,Islip,40.79524,-73.10021,4392,4392
160,ITH,Ithaca Tompkins Regional Airport,Ithaca,42.49103,-76.45844,34,34
161,ITO,Hilo International Airport,Hilo,19.72026,-155.04847,5723,5723
162,JAC,Jackson Hole Airport,Jackson,43.60732,-110.73773999999999,3511,3511
163,JAN,Jackson-Evers International Airport,Jackson,32.311170000000004,-90.07589,7097,7097
164,JAX,Jacksonville International Airport,Jacksonville,30.494059999999998,-81.68786,18038,18038
165,JFK,John F. Kennedy International Airport (New York International Airport),New York,40.63975,-73.77893,93811,93811
166,JLN,Joplin Regional Airport,Joplin,37.15181,-94.49826999999999,666,666
167,JMS,Jamestown Regional Airport,Jamestown,46.92972,-98.6782,812,812
168,JNU,Juneau International Airport,Juneau,58.35496,-134.57628,4094,4094
169,KOA,Kona International Airport at Keahole,Kailua/Kona,19.738770000000002,-156.04563000000002,11114,11114
170,KTN,Ketchikan International Airport,Ketchikan,55.35556999999999,-131.71374,2319,2319
171,LAN,Capital Region International Airport ( Lansing Capital City),Lansing,42.7787,-84.58736,1849,1849
172,LAR,Laramie Regional Airport,Laramie,41.31205,-105.67499,581,581
173,LAS,McCarran International Airport,Las Vegas,36.08036,-115.15233,133181,133181
174,LAW,Lawton-Fort Sill Regional Airport,Lawton,34.56771,-98.41664,1331,1331
175,LAX,Los Angeles International Airport,Los Angeles,33.94254,-118.40807,194673,194673
176,LBB,Lubbock Preston Smith International Airport,Lubbock,33.66364,-101.82278000000001,4637,4637
177,LBE,Arnold Palmer Regional Airport,Latrobe,40.275940000000006,-79.4048,1281,1281
178,LCH,Lake Charles Regional Airport,Lake Charles,30.1261,-93.2234,1860,1860
179,LEX,Blue Grass Airport,Lexington,38.036970000000004,-84.60539,5979,5979
